,0
2023-3-1,277.68
2023-3-2,280.37
2023-3-3,279.89
2023-3-4,279.54
2023-3-5,280.26
2023-3-6,278.07
2023-3-7,278.68
2023-3-8,279.8
2023-3-9,278.5
2023-3-10,284.07
2023-3-11,282.37
2023-3-12,284.68
2023-3-13,285.09
2023-3-14,286.37
2023-3-15,280.52
2023-3-16,281.09
2023-3-17,281.69
2023-3-18,283.69
2023-3-19,285.46
2023-3-20,282.72
2023-3-21,281.03
2023-3-22,280.16
2023-3-23,282.37
2023-3-24,280.54
2023-3-25,279.78
2023-3-26,279.57
2023-3-27,279.72
2023-3-28,281.84
2023-3-29,279.54
2023-3-30,279.37
2023-3-31,280.93
