,0
2023-5-1,282.62
2023-5-2,282.2
2023-5-3,281.71
2023-5-4,282.36
2023-5-5,283.3
2023-5-6,283.71
2023-5-7,282.82
2023-5-8,282.61
2023-5-9,283.44
2023-5-10,283.42
2023-5-11,283.65
2023-5-12,283.94
2023-5-13,284.59
2023-5-14,287.61
2023-5-15,285.92
2023-5-16,285.09
2023-5-17,286.22
2023-5-18,284.67
2023-5-19,285.22
2023-5-20,284.51
2023-5-21,284.57
2023-5-22,284.63
2023-5-23,284.19
2023-5-24,284.12
2023-5-25,284.37
2023-5-26,284.47
2023-5-27,284.16
2023-5-28,284.49
2023-5-29,284.21
2023-5-30,284.99
2023-5-31,284.54
