,0
2021-3-1,283.59
2021-3-2,284.23
2021-3-3,283.28
2021-3-4,280.66
2021-3-5,281.51
2021-3-6,280.62
2021-3-7,279.67
2021-3-8,281.15
2021-3-9,280.61
2021-3-10,279.82
2021-3-11,277.94
2021-3-12,279.34
2021-3-13,281.75
2021-3-14,281.19
2021-3-15,279.13
2021-3-16,279.41
2021-3-17,278.79
2021-3-18,281.74
2021-3-19,282.85
2021-3-20,280.77
2021-3-21,280.6
2021-3-22,281.63
2021-3-23,282.49
2021-3-24,286.59
2021-3-25,281.88
2021-3-26,281.36
2021-3-27,282.82
2021-3-28,283.97
2021-3-29,281.64
2021-3-30,284.56
2021-3-31,286.39
