,0
2021-4-1,288.23
2021-4-2,287.53
2021-4-3,282.15
2021-4-4,282.64
2021-4-5,282.29
2021-4-6,282.07
2021-4-7,282.01
2021-4-8,281.84
2021-4-9,282.57
2021-4-10,281.25
2021-4-11,281.56
2021-4-12,281.11
2021-4-13,281.71
2021-4-14,282.55
2021-4-15,282.3
2021-4-16,281.58
2021-4-17,282.1
2021-4-18,283.39
2021-4-19,284.32
2021-4-20,282.25
2021-4-21,283.21
2021-4-22,282.48
2021-4-23,282.22
2021-4-24,281.91
2021-4-25,283.62
2021-4-26,280.8
2021-4-27,281.16
2021-4-28,285.09
2021-4-29,285.01
2021-4-30,283.31
