,0
2022-12-1,281.85
2022-12-2,278.31
2022-12-3,279.5
2022-12-4,280.64
2022-12-5,282.52
2022-12-6,282.65
2022-12-7,280.57
2022-12-8,280.31
2022-12-9,282.07
2022-12-10,282.72
2022-12-11,281.65
2022-12-12,279.82
2022-12-13,278.81
2022-12-14,279.1
2022-12-15,280.11
2022-12-16,280.25
2022-12-17,281.25
2022-12-18,280.91
2022-12-19,279.32
2022-12-20,278.62
2022-12-21,280.44
2022-12-22,281.83
2022-12-23,280.79
2022-12-24,282.9
2022-12-25,284.69
2022-12-26,285.33
2022-12-27,284.51
2022-12-28,281.5
2022-12-29,282.04
2022-12-30,284.57
2022-12-31,286.98
