,0
2022-5-1,282.82
2022-5-2,283.86
2022-5-3,284.32
2022-5-4,283.87
2022-5-5,283.07
2022-5-6,286.38
2022-5-7,285.75
2022-5-8,283.56
2022-5-9,281.86
2022-5-10,280.86
2022-5-11,280.77
2022-5-12,281.7
2022-5-13,283.7
2022-5-14,286.4
2022-5-15,286.74
2022-5-16,284.85
2022-5-17,283.54
2022-5-18,283.89
2022-5-19,289.38
2022-5-20,286.52
2022-5-21,285.33
2022-5-22,284.62
2022-5-23,285.49
2022-5-24,285.57
2022-5-25,290.23
2022-5-26,284.75
2022-5-27,286.03
2022-5-28,284.55
2022-5-29,286.13
2022-5-30,285.43
2022-5-31,285.05
