,0
2020-11-1,286.74
2020-11-2,287.82
2020-11-3,287.25
2020-11-4,285.02
2020-11-5,289.41
2020-11-6,287.25
2020-11-7,281.85
2020-11-8,281.31
2020-11-9,281.35
2020-11-10,281.2
2020-11-11,284.13
2020-11-12,281.86
2020-11-13,281.5
2020-11-14,283.91
2020-11-15,282.19
2020-11-16,285.84
2020-11-17,287.07
2020-11-18,286.37
2020-11-19,283.45
2020-11-20,283.82
2020-11-21,284.96
2020-11-22,283.99
2020-11-23,282.44
2020-11-24,282.32
2020-11-25,283.11
2020-11-26,282.84
2020-11-27,284.04
2020-11-28,283.04
2020-11-29,282.72
2020-11-30,284.02
