,0
2022-3-1,284.01
2022-3-2,284.01
2022-3-3,283.09
2022-3-4,284.24
2022-3-5,279.67
2022-3-6,280.61
2022-3-7,279.89
2022-3-8,282.45
2022-3-9,283.45
2022-3-10,282.15
2022-3-11,282.02
2022-3-12,283.79
2022-3-13,283.0
2022-3-14,281.47
2022-3-15,286.45
2022-3-16,282.89
2022-3-17,282.17
2022-3-18,281.53
2022-3-19,282.7
2022-3-20,282.28
2022-3-21,282.45
2022-3-22,286.72
2022-3-23,286.16
2022-3-24,283.02
2022-3-25,282.28
2022-3-26,282.23
2022-3-27,283.14
2022-3-28,284.32
2022-3-29,282.75
2022-3-30,283.09
2022-3-31,282.89
