,0
2022-6-1,286.33
2022-6-2,286.7
2022-6-3,285.27
2022-6-4,286.34
2022-6-5,290.22
2022-6-6,288.85
2022-6-7,286.49
2022-6-8,286.43
2022-6-9,286.11
2022-6-10,290.9
2022-6-11,294.55
2022-6-12,289.93
2022-6-13,286.25
2022-6-14,288.12
2022-6-15,287.12
2022-6-16,286.25
2022-6-17,285.16
2022-6-18,285.72
2022-6-19,286.22
2022-6-20,287.14
2022-6-21,289.44
2022-6-22,294.72
2022-6-23,289.98
2022-6-24,287.54
2022-6-25,286.42
2022-6-26,286.27
2022-6-27,286.41
2022-6-28,287.16
2022-6-29,286.01
2022-6-30,285.62
