,0
2022-1-1,279.04
2022-1-2,278.35
2022-1-3,281.45
2022-1-4,283.17
2022-1-5,283.86
2022-1-6,284.87
2022-1-7,283.53
2022-1-8,280.76
2022-1-9,280.93
2022-1-10,281.88
2022-1-11,283.05
2022-1-12,284.08
2022-1-13,284.36
2022-1-14,282.85
2022-1-15,284.43
2022-1-16,285.16
2022-1-17,283.59
2022-1-18,282.87
2022-1-19,281.32
2022-1-20,283.85
2022-1-21,284.54
2022-1-22,288.21
2022-1-23,283.51
2022-1-24,283.12
2022-1-25,281.34
2022-1-26,282.09
2022-1-27,282.72
2022-1-28,282.46
2022-1-29,283.62
2022-1-30,282.73
2022-1-31,281.57
