,0
2022-4-1,282.95
2022-4-2,283.25
2022-4-3,285.18
2022-4-4,283.56
2022-4-5,284.64
2022-4-6,284.82
2022-4-7,288.67
2022-4-8,290.02
2022-4-9,285.31
2022-4-10,284.92
2022-4-11,282.32
2022-4-12,280.19
2022-4-13,280.46
2022-4-14,283.29
2022-4-15,284.11
2022-4-16,283.57
2022-4-17,279.72
2022-4-18,280.42
2022-4-19,286.86
2022-4-20,282.39
2022-4-21,285.31
2022-4-22,284.2
2022-4-23,282.18
2022-4-24,284.28
2022-4-25,283.21
2022-4-26,284.19
2022-4-27,282.56
2022-4-28,281.7
2022-4-29,282.36
2022-4-30,285.58
