,0
2022-10-1,287.4
2022-10-2,288.78
2022-10-3,287.19
2022-10-4,286.92
2022-10-5,286.51
2022-10-6,287.7
2022-10-7,286.49
2022-10-8,289.94
2022-10-9,287.12
2022-10-10,286.19
2022-10-11,286.81
2022-10-12,286.52
2022-10-13,285.64
2022-10-14,285.93
2022-10-15,286.95
2022-10-16,288.6
2022-10-17,286.05
2022-10-18,288.62
2022-10-19,291.42
2022-10-20,291.16
2022-10-21,286.91
2022-10-22,286.47
2022-10-23,285.84
2022-10-24,287.0
2022-10-25,286.09
2022-10-26,284.31
2022-10-27,284.88
2022-10-28,286.03
2022-10-29,284.21
2022-10-30,286.46
2022-10-31,284.16
