,0
2021-10-1,288.25
2021-10-2,289.33
2021-10-3,290.17
2021-10-4,290.31
2021-10-5,287.02
2021-10-6,286.9
2021-10-7,284.84
2021-10-8,285.04
2021-10-9,285.72
2021-10-10,286.63
2021-10-11,285.42
2021-10-12,287.08
2021-10-13,284.07
2021-10-14,284.5
2021-10-15,287.18
2021-10-16,290.57
2021-10-17,289.02
2021-10-18,283.06
2021-10-19,282.57
2021-10-20,286.02
2021-10-21,289.21
2021-10-22,289.53
2021-10-23,286.01
2021-10-24,286.14
2021-10-25,285.91
2021-10-26,284.52
2021-10-27,286.24
2021-10-28,288.88
2021-10-29,290.22
2021-10-30,287.17
2021-10-31,285.17
