,0
2021-5-1,283.91
2021-5-2,283.34
2021-5-3,285.66
2021-5-4,286.85
2021-5-5,284.82
2021-5-6,283.14
2021-5-7,283.34
2021-5-8,285.23
2021-5-9,287.08
2021-5-10,286.07
2021-5-11,285.53
2021-5-12,284.73
2021-5-13,283.49
2021-5-14,282.94
2021-5-15,282.52
2021-5-16,283.21
2021-5-17,283.39
2021-5-18,282.81
2021-5-19,282.95
2021-5-20,283.25
2021-5-21,284.33
2021-5-22,282.8
2021-5-23,283.2
2021-5-24,283.36
2021-5-25,285.27
2021-5-26,284.24
2021-5-27,282.56
2021-5-28,286.48
2021-5-29,283.85
2021-5-30,283.74
2021-5-31,284.94
