,0
2020-12-1,283.19
2020-12-2,284.64
2020-12-3,284.3
2020-12-4,284.94
2020-12-5,284.98
2020-12-6,283.34
2020-12-7,284.17
2020-12-8,285.62
2020-12-9,283.71
2020-12-10,285.07
2020-12-11,281.34
2020-12-12,283.53
2020-12-13,281.87
2020-12-14,280.59
2020-12-15,280.93
2020-12-16,282.0
2020-12-17,283.86
2020-12-18,281.28
2020-12-19,282.64
2020-12-20,281.89
2020-12-21,282.19
2020-12-22,282.6
2020-12-23,281.63
2020-12-24,280.66
2020-12-25,283.68
2020-12-26,284.84
2020-12-27,281.74
2020-12-28,281.19
2020-12-29,280.06
2020-12-30,281.2
2020-12-31,282.4
