,0
2023-6-1,284.67
2023-6-2,284.39
2023-6-3,284.22
2023-6-4,286.57
2023-6-5,285.19
2023-6-6,285.74
2023-6-7,286.57
2023-6-8,286.28
2023-6-9,286.53
2023-6-10,284.93
2023-6-11,284.83
2023-6-12,285.86
2023-6-13,286.14
2023-6-14,285.38
2023-6-15,284.85
2023-6-16,285.66
2023-6-17,286.5
2023-6-18,286.39
2023-6-19,285.21
2023-6-20,285.17
2023-6-21,285.18
2023-6-22,284.51
2023-6-23,286.44
2023-6-24,285.89
2023-6-25,285.45
2023-6-26,284.63
2023-6-27,284.63
2023-6-28,284.16
2023-6-29,284.52
2023-6-30,287.02
