,0
2021-1-1,281.23
2021-1-2,282.51
2021-1-3,283.12
2021-1-4,283.48
2021-1-5,280.87
2021-1-6,281.37
2021-1-7,282.37
2021-1-8,282.27
2021-1-9,281.45
2021-1-10,282.1
2021-1-11,282.8
2021-1-12,283.62
2021-1-13,284.76
2021-1-14,285.85
2021-1-15,286.32
2021-1-16,286.77
2021-1-17,287.62
2021-1-18,286.31
2021-1-19,289.29
2021-1-20,286.05
2021-1-21,284.02
2021-1-22,281.42
2021-1-23,280.32
2021-1-24,280.31
2021-1-25,279.12
2021-1-26,277.71
2021-1-27,280.4
2021-1-28,282.39
2021-1-29,280.99
2021-1-30,280.16
2021-1-31,283.33
