,0
2023-7-1,286.59
2023-7-2,292.3
2023-7-3,288.64
2023-7-4,286.13
2023-7-5,286.0
2023-7-6,286.5
2023-7-7,285.58
2023-7-8,285.38
2023-7-9,284.87
2023-7-10,285.91
2023-7-11,286.27
2023-7-12,285.85
2023-7-13,285.98
2023-7-14,286.26
2023-7-15,287.14
2023-7-16,287.51
2023-7-17,289.22
2023-7-18,287.46
2023-7-19,286.0
2023-7-20,285.95
2023-7-21,287.14
2023-7-22,287.28
2023-7-23,288.49
2023-7-24,286.66
2023-7-25,287.84
2023-7-26,289.26
2023-7-27,286.99
2023-7-28,286.57
2023-7-29,286.53
2023-7-30,286.2
2023-7-31,286.8
