,0
2021-11-1,286.85
2021-11-2,287.85
2021-11-3,287.21
2021-11-4,287.87
2021-11-5,284.93
2021-11-6,284.5
2021-11-7,284.6
2021-11-8,282.96
2021-11-9,282.44
2021-11-10,287.03
2021-11-11,286.75
2021-11-12,288.06
2021-11-13,288.14
2021-11-14,288.86
2021-11-15,286.91
2021-11-16,286.0
2021-11-17,285.87
2021-11-18,285.48
2021-11-19,284.47
2021-11-20,285.78
2021-11-21,285.79
2021-11-22,285.33
2021-11-23,284.79
2021-11-24,285.02
2021-11-25,285.4
2021-11-26,284.86
2021-11-27,282.63
2021-11-28,287.54
2021-11-29,286.7
2021-11-30,287.97
