,0
2022-9-1,288.26
2022-9-2,287.24
2022-9-3,289.16
2022-9-4,290.52
2022-9-5,293.03
2022-9-6,295.73
2022-9-7,293.87
2022-9-8,293.71
2022-9-9,291.29
2022-9-10,289.52
2022-9-11,292.03
2022-9-12,290.4
2022-9-13,288.37
2022-9-14,288.36
2022-9-15,288.55
2022-9-16,287.07
2022-9-17,286.91
2022-9-18,288.3
2022-9-19,288.98
2022-9-20,287.98
2022-9-21,289.28
2022-9-22,287.84
2022-9-23,290.24
2022-9-24,292.01
2022-9-25,288.52
2022-9-26,287.45
2022-9-27,286.55
2022-9-28,286.6
2022-9-29,289.53
2022-9-30,288.99
