,0
2022-7-1,284.99
2022-7-2,285.27
2022-7-3,285.77
2022-7-4,286.18
2022-7-5,290.55
2022-7-6,289.66
2022-7-7,288.11
2022-7-8,287.33
2022-7-9,286.51
2022-7-10,287.04
2022-7-11,288.51
2022-7-12,287.75
2022-7-13,288.28
2022-7-14,286.74
2022-7-15,286.23
2022-7-16,285.98
2022-7-17,287.36
2022-7-18,287.17
2022-7-19,287.17
2022-7-20,285.71
2022-7-21,286.01
2022-7-22,285.65
2022-7-23,285.68
2022-7-24,285.52
2022-7-25,285.08
2022-7-26,287.18
2022-7-27,287.43
2022-7-28,286.61
2022-7-29,287.36
2022-7-30,287.78
2022-7-31,288.25
