,0
2021-7-1,286.85
2021-7-2,286.82
2021-7-3,286.53
2021-7-4,286.78
2021-7-5,286.63
2021-7-6,286.36
2021-7-7,286.02
2021-7-8,285.57
2021-7-9,288.58
2021-7-10,288.14
2021-7-11,287.98
2021-7-12,285.24
2021-7-13,285.12
2021-7-14,285.25
2021-7-15,285.34
2021-7-16,284.68
2021-7-17,285.39
2021-7-18,286.4
2021-7-19,288.4
2021-7-20,286.03
2021-7-21,285.91
2021-7-22,285.53
2021-7-23,285.36
2021-7-24,285.55
2021-7-25,286.51
2021-7-26,286.4
2021-7-27,287.28
2021-7-28,289.29
2021-7-29,288.87
2021-7-30,287.89
2021-7-31,288.08
