,0
2023-1-1,282.79
2023-1-2,282.96
2023-1-3,280.63
2023-1-4,281.1
2023-1-5,284.31
2023-1-6,282.65
2023-1-7,285.29
2023-1-8,284.14
2023-1-9,285.8
2023-1-10,285.66
2023-1-11,283.35
2023-1-12,286.51
2023-1-13,287.53
2023-1-14,285.28
2023-1-15,282.2
2023-1-16,280.41
2023-1-17,279.85
2023-1-18,280.17
2023-1-19,281.67
2023-1-20,280.33
2023-1-21,279.77
2023-1-22,280.76
2023-1-23,283.26
2023-1-24,283.26
2023-1-25,282.52
2023-1-26,286.02
2023-1-27,283.82
2023-1-28,280.97
2023-1-29,281.57
2023-1-30,278.49
2023-1-31,279.17
