,0
2021-6-1,286.11
2021-6-2,284.04
2021-6-3,284.64
2021-6-4,286.95
2021-6-5,284.21
2021-6-6,284.81
2021-6-7,284.08
2021-6-8,283.79
2021-6-9,283.69
2021-6-10,283.83
2021-6-11,284.11
2021-6-12,287.67
2021-6-13,288.84
2021-6-14,289.57
2021-6-15,286.12
2021-6-16,288.81
2021-6-17,289.88
2021-6-18,289.72
2021-6-19,288.05
2021-6-20,286.81
2021-6-21,286.5
2021-6-22,288.05
2021-6-23,287.35
2021-6-24,287.34
2021-6-25,286.3
2021-6-26,286.44
2021-6-27,286.58
2021-6-28,286.83
2021-6-29,287.04
2021-6-30,287.63
