,0
2023-4-1,280.22
2023-4-2,283.95
2023-4-3,280.25
2023-4-4,279.36
2023-4-5,279.94
2023-4-6,280.59
2023-4-7,283.19
2023-4-8,282.72
2023-4-9,283.61
2023-4-10,286.55
2023-4-11,285.19
2023-4-12,281.5
2023-4-13,281.3
2023-4-14,281.45
2023-4-15,281.81
2023-4-16,280.74
2023-4-17,282.7
2023-4-18,283.26
2023-4-19,281.88
2023-4-20,282.64
2023-4-21,285.34
2023-4-22,286.71
2023-4-23,286.08
2023-4-24,283.73
2023-4-25,282.99
2023-4-26,285.66
2023-4-27,285.32
2023-4-28,287.49
2023-4-29,284.71
2023-4-30,283.22
