,0
2021-12-1,287.23
2021-12-2,288.93
2021-12-3,284.68
2021-12-4,284.2
2021-12-5,283.54
2021-12-6,284.02
2021-12-7,282.93
2021-12-8,282.77
2021-12-9,283.43
2021-12-10,280.1
2021-12-11,280.44
2021-12-12,281.82
2021-12-13,283.44
2021-12-14,278.83
2021-12-15,278.55
2021-12-16,283.54
2021-12-17,279.33
2021-12-18,278.76
2021-12-19,277.46
2021-12-20,278.71
2021-12-21,278.57
2021-12-22,279.76
2021-12-23,285.9
2021-12-24,283.88
2021-12-25,281.79
2021-12-26,278.91
2021-12-27,280.37
2021-12-28,278.14
2021-12-29,281.14
2021-12-30,278.16
2021-12-31,278.19
