,0
2022-11-1,286.03
2022-11-2,282.29
2022-11-3,281.31
2022-11-4,282.66
2022-11-5,285.13
2022-11-6,286.65
2022-11-7,284.99
2022-11-8,282.61
2022-11-9,280.6
2022-11-10,281.71
2022-11-11,281.86
2022-11-12,281.54
2022-11-13,282.24
2022-11-14,281.07
2022-11-15,282.76
2022-11-16,284.61
2022-11-17,284.34
2022-11-18,282.69
2022-11-19,284.45
2022-11-20,283.25
2022-11-21,283.66
2022-11-22,284.26
2022-11-23,284.45
2022-11-24,286.23
2022-11-25,285.87
2022-11-26,285.56
2022-11-27,284.79
2022-11-28,282.8
2022-11-29,280.4
2022-11-30,280.38
