,0
2020-10-1,297.0
2020-10-2,293.29
2020-10-3,291.44
2020-10-4,294.35
2020-10-5,286.45
2020-10-6,287.69
2020-10-7,286.16
2020-10-8,286.99
2020-10-9,286.91
2020-10-10,287.38
2020-10-11,288.42
2020-10-12,289.37
2020-10-13,289.59
2020-10-14,290.05
2020-10-15,293.84
2020-10-16,295.7
2020-10-17,293.43
2020-10-18,293.01
2020-10-19,290.07
2020-10-20,287.34
2020-10-21,288.15
2020-10-22,287.72
2020-10-23,285.78
2020-10-24,286.52
2020-10-25,286.24
2020-10-26,288.62
2020-10-27,286.19
2020-10-28,286.03
2020-10-29,286.65
2020-10-30,285.92
2020-10-31,285.9
