,0
2022-8-1,288.34
2022-8-2,290.79
2022-8-3,288.09
2022-8-4,288.99
2022-8-5,288.84
2022-8-6,289.85
2022-8-7,288.21
2022-8-8,288.66
2022-8-9,288.77
2022-8-10,289.51
2022-8-11,289.4
2022-8-12,288.44
2022-8-13,288.01
2022-8-14,288.34
2022-8-15,288.08
2022-8-16,288.73
2022-8-17,290.28
2022-8-18,287.32
2022-8-19,288.4
2022-8-20,288.6
2022-8-21,287.93
2022-8-22,287.93
2022-8-23,289.53
2022-8-24,287.44
2022-8-25,287.13
2022-8-26,288.3
2022-8-27,287.33
2022-8-28,287.93
2022-8-29,287.84
2022-8-30,287.48
2022-8-31,287.23
