,0
2020-9-1,286.73
2020-9-2,287.77
2020-9-3,287.28
2020-9-4,287.22
2020-9-5,291.56
2020-9-6,300.14
2020-9-7,303.66
2020-9-8,292.6
2020-9-9,289.24
2020-9-10,287.51
2020-9-11,287.1
2020-9-12,289.78
2020-9-13,289.61
2020-9-14,286.85
2020-9-15,287.05
2020-9-16,289.17
2020-9-17,290.97
2020-9-18,289.57
2020-9-19,290.01
2020-9-20,290.14
2020-9-21,290.63
2020-9-22,289.05
2020-9-23,288.21
2020-9-24,289.61
2020-9-25,287.83
2020-9-26,289.82
2020-9-27,292.35
2020-9-28,299.15
2020-9-29,293.03
2020-9-30,289.87
