,0
2021-9-1,285.85
2021-9-2,286.55
2021-9-3,286.23
2021-9-4,286.35
2021-9-5,286.71
2021-9-6,287.91
2021-9-7,289.77
2021-9-8,289.76
2021-9-9,289.23
2021-9-10,288.19
2021-9-11,287.43
2021-9-12,287.29
2021-9-13,287.72
2021-9-14,286.31
2021-9-15,287.14
2021-9-16,285.77
2021-9-17,285.71
2021-9-18,286.02
2021-9-19,289.84
2021-9-20,288.4
2021-9-21,291.95
2021-9-22,291.48
2021-9-23,286.81
2021-9-24,288.96
2021-9-25,287.18
2021-9-26,286.81
2021-9-27,286.85
2021-9-28,287.07
2021-9-29,286.73
2021-9-30,287.68
